index,test_id,defects4J_id,RAP_Gen_reapir_output,RAP_Gen_reapir_outcome,unique_repair
48,test_48.output,Math_75_Frequency_1_1,return getPct(( Comparable<?>)v);,1,
472,test_472.output,Math_77_ArrayRealVector_1_1,"max = Math.max(max, Math.abs(a));",1,
473,test_473.output,Math_77_OpenMapRealVector_1_1,[Delete] or ;,1,1
470,test_470.output,Math_79_MathUtils_2_1,double sum = 0;,1,
471,test_471.output,Math_79_MathUtils_2_2,final double dp = p1[i] - p2[i];,1,
49,test_49.output,Math_80_EigenDecompositionImpl_1_1,int j = 4 *(n - 1);,1,
50,test_50.output,Math_82_SimplexSolver_1_1,,,
51,test_51.output,Math_85_UnivariateRealSolverUtils_1_1,,,
52,test_52.output,Math_87_SimplexTableau_1_1,,,
53,test_53.output,Math_89_Frequency_1_1,,,
16,test_16.output,Math_9_Line_1_1,,,
54,test_54.output,Math_91_Fraction_1_1,,,
55,test_55.output,Math_94_MathUtils_1_1,,,
56,test_56.output,Math_95_FDistributionImpl_1_1,,,
57,test_57.output,Math_96_Complex_1_1,,,
402,test_402.output,Math_98_BigMatrixImpl_1_1,final BigDecimal[] out = new BigDecimal[nRows];,1,
403,test_403.output,Math_98_RealMatrixImpl_1_1,final double[] out = new double[nRows];,1,
404,test_404.output,Math_99_MathUtils_2_1,,,
406,test_406.output,Math_99_MathUtils_2_1,,,
405,test_405.output,Math_99_MathUtils_2_2,,,
407,test_407.output,Math_99_MathUtils_2_2,,,
193,test_193.output,Mockito_1_InvocationMatcher_1_1,,,
197,test_197.output,Mockito_12_GenericMaster_1_1,,,
454,test_454.output,Mockito_15_FinalMockCandidateFilter_2_2,,,
198,test_198.output,Mockito_18_ReturnsEmptyValues_1_1,,,
455,test_455.output,Mockito_18_ReturnsEmptyValues_1_1,,,
199,test_199.output,Mockito_22_Equality_1_1,,,
456,test_456.output,Mockito_22_Equality_1_1,,,
200,test_200.output,Mockito_24_ReturnsEmptyValues_1_1,,,
201,test_201.output,Mockito_26_Primitives_1_1,"primitiveValues.put(double.class, 0D);",1,
202,test_202.output,Mockito_27_MockUtil_1_1,,,
203,test_203.output,Mockito_28_DefaultInjectionEngine_1_1,,,
204,test_204.output,Mockito_29_Same_1_1,,,
205,test_205.output,Mockito_34_InvocationMatcher_1_1,,,
206,test_206.output,Mockito_37_AnswersValidator_1_1,,,
194,test_194.output,Mockito_5_VerificationOverTimeImpl_1_1,catch(AssertionError e){,1,
195,test_195.output,Mockito_7_GenericMetadataSupport_1_1,,,
196,test_196.output,Mockito_8_GenericMetadataSupport_1_1,,,
453,test_453.output,Mockito_8_GenericMetadataSupport_1_1,,,
329,test_329.output,Time_11_ZoneInfoCompiler_1_1,,,
330,test_330.output,Time_14_BasicMonthOfYearDateTimeField_1_1,,,
331,test_331.output,Time_15_FieldUtils_1_1,,,
332,test_332.output,Time_16_DateTimeFormatter_1_1,,,
333,test_333.output,Time_19_DateTimeZone_1_1,} else if(offsetLocal >= 0){,1,
334,test_334.output,Time_20_DateTimeFormatterBuilder_1_1,,,
335,test_335.output,Time_22_BasePeriod_1_1,,,
336,test_336.output,Time_24_DateTimeParserBucket_1_1,,,
337,test_337.output,Time_25_DateTimeZone_1_1,,,
326,test_326.output,Time_4_Partial_1_1,,,
327,test_327.output,Time_5_Period_1_1,,,
328,test_328.output,Time_7_DateTimeFormatter_1_1,,,
,,,,72,13
